"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 26 06:29:33 GMT 2023","Wed Jul 26 06:29:43 GMT 2023","10061","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the About your Physical Therapist resources","opens the About your Physical Therapist resources","SessionId: 18e52d24a6350b9a8dad6f9f2d0494f52f70a063"
"failed","Wed Jul 26 06:29:53 GMT 2023","Wed Jul 26 06:30:06 GMT 2023","12951","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","""after all"" hook","""after all"" hook",""
"unknown","Wed Jul 26 06:18:31 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690352311369","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""before all"" hook","""before all"" hook",""
"unknown","Wed Jul 26 06:22:25 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690352545831","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""before all"" hook","""before all"" hook",""
"failed","Wed Jul 26 06:21:31 GMT 2023","Wed Jul 26 06:21:41 GMT 2023","10109","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","navigates to the Exercise Plan screen after the Welcome Screen","navigates to the Exercise Plan screen after the Welcome Screen","SessionId: ba090fd889d1c2eb7463e15cb9da855df2e867f9"
"failed","Wed Jul 26 06:25:25 GMT 2023","Wed Jul 26 06:25:35 GMT 2023","10122","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","navigates to the VideoStep screen after the Welcome screen","navigates to the VideoStep screen after the Welcome screen","SessionId: 6346e041a800d749a3f37813571635220bee5f76"
"failed","Wed Jul 26 06:29:23 GMT 2023","Wed Jul 26 06:29:33 GMT 2023","10106","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the Video Visit tips resources","opens the Video Visit tips resources","SessionId: 18e52d24a6350b9a8dad6f9f2d0494f52f70a063"
"failed","Wed Jul 26 06:21:41 GMT 2023","Wed Jul 26 06:21:51 GMT 2023","10108","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""after all"" hook","""after all"" hook",""
"failed","Wed Jul 26 06:25:35 GMT 2023","Wed Jul 26 06:25:46 GMT 2023","10087","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""after all"" hook","""after all"" hook",""
"failed","Wed Jul 26 06:31:53 GMT 2023","Wed Jul 26 06:32:04 GMT 2023","10904","","Pause Screen","","Pause Screen","restart exercise correctly","restart exercise correctly","SessionId: c0b8541e084c48f0429548eb8dc3adb9ce583176"
