"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 25 06:29:53 GMT 2023","Tue Jul 25 06:29:54 GMT 2023","1655","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","navigates to the Acute PreConsult screen","navigates to the Acute PreConsult screen","SessionId: 3cb566d25655d9db8b768c1227c215e2da689f08"
"unknown","Tue Jul 25 06:18:47 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690265927936","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""before all"" hook","""before all"" hook",""
"unknown","Tue Jul 25 06:32:52 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690266772784","","Pause Screen: ET Settings","","Pause Screen: ET Settings","""before all"" hook","""before all"" hook",""
"failed","Tue Jul 25 06:30:05 GMT 2023","Tue Jul 25 06:30:15 GMT 2023","10121","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the About your Physical Therapist resources","opens the About your Physical Therapist resources","SessionId: 3cb566d25655d9db8b768c1227c215e2da689f08"
"failed","Tue Jul 25 06:31:59 GMT 2023","Tue Jul 25 06:32:01 GMT 2023","1867","","Pause Screen","","Pause Screen","renders correctly","renders correctly","SessionId: 2535df6dd5b346580117f61a0ff6d1ac8517a31f"
"failed","Tue Jul 25 06:21:47 GMT 2023","Tue Jul 25 06:21:58 GMT 2023","10127","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","navigates to the Exercise Plan screen after the Welcome Screen","navigates to the Exercise Plan screen after the Welcome Screen","SessionId: 179e90421543e379b160386e0bfee86c63b33e97"
"failed","Tue Jul 25 06:25:53 GMT 2023","Tue Jul 25 06:26:03 GMT 2023","10223","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","navigates to the VideoStep screen after the Welcome screen","navigates to the VideoStep screen after the Welcome screen","SessionId: 0e3ae9b14be0cd70fa8ca73f33418aedad9926ca"
"failed","Tue Jul 25 06:35:52 GMT 2023","Tue Jul 25 06:35:53 GMT 2023","588","","Pause Screen: ET Settings","","Pause Screen: ET Settings","shows audio instructions toggle","shows audio instructions toggle","SessionId: 2535df6dd5b346580117f61a0ff6d1ac8517a31f"
"failed","Tue Jul 25 06:21:58 GMT 2023","Tue Jul 25 06:22:08 GMT 2023","10106","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""after all"" hook","""after all"" hook",""
"failed","Tue Jul 25 06:35:53 GMT 2023","Tue Jul 25 06:35:54 GMT 2023","753","","Pause Screen: ET Settings","","Pause Screen: ET Settings","shows sound effects toggle","shows sound effects toggle","SessionId: 2535df6dd5b346580117f61a0ff6d1ac8517a31f"
