"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 24 06:31:58 GMT 2023","Mon Jul 24 06:32:09 GMT 2023","11010","","Pause Screen","","Pause Screen","restart exercise correctly","restart exercise correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:29:30 GMT 2023","Mon Jul 24 06:29:41 GMT 2023","10295","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the About your Physical Therapist resources","opens the About your Physical Therapist resources","SessionId: 95abecc8991b6ee79621bc169eb3c11fd8bc1bb9"
"failed","Mon Jul 24 06:35:26 GMT 2023","Mon Jul 24 06:35:36 GMT 2023","10129","","Pause Screen","","Pause Screen","""after all"" hook","""after all"" hook",""
"failed","Mon Jul 24 06:21:36 GMT 2023","Mon Jul 24 06:21:46 GMT 2023","10108","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""after all"" hook","""after all"" hook",""
"failed","Mon Jul 24 06:25:30 GMT 2023","Mon Jul 24 06:25:41 GMT 2023","10574","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""after all"" hook","""after all"" hook",""
"unknown","Mon Jul 24 06:22:20 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690179740423","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","""before all"" hook","""before all"" hook",""
"failed","Mon Jul 24 06:25:20 GMT 2023","Mon Jul 24 06:25:30 GMT 2023","10457","","Acute users with red flags navigates in the onboarding red flow Sanity check","","Acute users with red flags navigates in the onboarding red flow Sanity check","navigates to the VideoStep screen after the Welcome screen","navigates to the VideoStep screen after the Welcome screen","SessionId: ad0346faf737f69dd0911ef507829e7218150fef"
"failed","Mon Jul 24 06:29:41 GMT 2023","Mon Jul 24 06:29:51 GMT 2023","10230","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","opens the Account screen","opens the Account screen","SessionId: 95abecc8991b6ee79621bc169eb3c11fd8bc1bb9"
"failed","Mon Jul 24 06:31:38 GMT 2023","Mon Jul 24 06:31:48 GMT 2023","10189","","Pause Screen","","Pause Screen","the instructional video renders correctly","the instructional video renders correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:32:09 GMT 2023","Mon Jul 24 06:32:19 GMT 2023","10124","","Pause Screen","","Pause Screen","end exercise therapy modal renders and functions correctly","end exercise therapy modal renders and functions correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:35:21 GMT 2023","Mon Jul 24 06:35:26 GMT 2023","5295","","Pause Screen: ET Settings","","Pause Screen: ET Settings","""after all"" hook","""after all"" hook",""
"unknown","Mon Jul 24 06:26:17 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690179977182","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","""before all"" hook","""before all"" hook",""
"unknown","Mon Jul 24 06:18:25 GMT 2023","Thu Jan 01 00:00:00 GMT 1970","-1690179505941","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","","Acute users with green flag navigates in the Onboarding Green Flow Sanity Check:","""before all"" hook","""before all"" hook",""
"failed","Mon Jul 24 06:29:51 GMT 2023","Mon Jul 24 06:30:04 GMT 2023","12867","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","""after all"" hook","""after all"" hook",""
"failed","Mon Jul 24 06:31:25 GMT 2023","Mon Jul 24 06:31:28 GMT 2023","2719","","Pause Screen","","Pause Screen","renders correctly","renders correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:31:48 GMT 2023","Mon Jul 24 06:31:58 GMT 2023","10145","","Pause Screen","","Pause Screen","the modifications video renders correctly","the modifications video renders correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:31:28 GMT 2023","Mon Jul 24 06:31:38 GMT 2023","10152","","Pause Screen","","Pause Screen","the Video Instructions Screen renders correctly","the Video Instructions Screen renders correctly","SessionId: f2f80231e02b1f73b96c89ad71a40458a5b045f8"
"failed","Mon Jul 24 06:31:01 GMT 2023","Mon Jul 24 06:31:25 GMT 2023","24237","","Pause Screen","","Pause Screen","""before all"" hook","""before all"" hook",""
"failed","Mon Jul 24 06:29:17 GMT 2023","Mon Jul 24 06:29:20 GMT 2023","3269","","Acute users without activity plan navigates to AcutePreConsult screen","","Acute users without activity plan navigates to AcutePreConsult screen","navigates to the Acute PreConsult screen","navigates to the Acute PreConsult screen","SessionId: 95abecc8991b6ee79621bc169eb3c11fd8bc1bb9"
